jname,cname,ename,jflavor,cflavor,eflavor,correspond
戦導者の号令,战领召令,Warleader's Call,「私が危惧するのは、ギルド間の戦争こそが、まさに真犯人の思うつぼだと言うことだ。かような破滅によって得をする者は、いったい誰なのだろうか？」\n――アルキスト・プロフトの事件簿,「我担心，公会之间战火重燃正是凶手想要的结果。这般乱局当中，谁又能从中渔利？」\n～阿奎斯波费，探案笔记,"""I fear a war between the guilds is exactly what our killer wants. Who could stand to benefit from such destruction?""\n—Alquist Proft, case notes",私
狂信の力,狂热驱力,Fanatical Strength,「今日、ケイヤとケランが襲われただと！素晴らしいニュースだ。明らかに真犯人はこの捜査線上にいる。」\n――アルキスト・プロフトの事件簿,「卡娅和凯澜今天遭人袭击了！这可是大好消息。证明我们查对方向，就要找到真凶了。」\n～阿奎斯波费，探案笔记,"""Kaya and Kellan were attacked today! This is excellent news. Clearly we are on the trail of the true killer.""\n—Alquist Proft, case notes",
答えの要求,索求回答,Demand Answers,「思うにオレリアにしてみれば、ラヴニカ史上最大の難事件を解決するのに丸一日時間を与えるというのは、たいそう寛大な処遇のつもりなのだろう。」\n――アルキスト・プロフトの事件簿,「我想，也许在欧瑞梨看来，给我们整整一天时间来破这桩拉尼卡史上最复杂的案子，已经很宽容了。」\n～阿奎斯波费，探案笔记,"""I suppose, from Aurelia's perspective, she was being generous by giving us one entire day to solve the most complex case in Ravnican history.""\n—Alquist Proft, case notes",
辻妻の不一致,事理不通,It Doesn't Add Up,「エトラータはその殺害については一切、記憶にないと言い張った。どうしたものか、私には彼女が嘘をついているようには思えなかったのだ。」\n――アルキスト・プロフトの事件簿,「艾庄塔声称她对自己犯下这桩血案毫无记忆。我总觉得她说的是真话。」\n～阿奎斯波费，探案笔记,"""Etrata claims she has no memory of committing the murder. Somehow, I believe she's telling the truth.""\n—Alquist Proft, case notes",私
許可なき脱出,擅自脱逃,Unauthorized Exit,「大事な容疑者を脱獄させたとなればアゾリウス当局もご立腹だろうが、どうせいつものことだ。」\n――アルキスト・プロフトの事件簿,「我带着俄佐立的头号嫌疑犯脱逃，他们看我更不顺眼，一切就老样子。」\n～阿奎斯波费，探案笔记,"""The Azorius will be annoyed with me for breaking out their star suspect, but what else is new.""\n—Alquist Proft, case notes",
犯行現場の再現,重现罪行,Reenact the Crime,「やはりカイロックスは、隠し出口を用意していた。だが疑問は残る。彼は襲撃者から逃れたのか？ それとも意に反して連れ去られたのか？」\n――アルキスト・プロフトの事件簿,「跟我想的一样，奇洛兹果然留了一道密门。不过谜团还没解开：他是自行逃出还是被人掳走？」\n～阿奎斯波费，探案笔记,"""As I suspected, Kylox had prepared a secret exit. But the question remains: Did he escape his assailants or was he taken against his will?""\n—Alquist Proft, case notes",
遂行中,任务出动,On the Job,「探偵社の調査員は偽の手掛かりを潰してゆく。私は真実を見つけ出す。」\n――アルキスト・プロフトの事件簿,「魔调局侦探会排除错误线索。我会找到真相。」\n～阿奎斯波费，探案笔记,"""The Agency's detectives will eliminate the false leads. I will find the truth.""\n—Alquist Proft, case notes",私
その場しのぎの束縛,临时束缚,Makeshift Binding,「信用できないオーバを他の姉妹から引き離すことで、トロスターニがいつか、どうにかして復活するのではないかと私は願った。」\n――アルキスト・プロフトの事件簿,「性情大变的欧芭已脱离姐妹身躯，但我相信卓塔妮最终一定会如常恢复均衡。」\n～阿奎斯波费，探案笔记,"""With the treacherous Oba separated from her sisters, I'm hopeful that Trostani will, in some form, eventually recover.""\n—Alquist Proft, case notes",私
吉報の訪れ,朗报到来,Auspicious Arrival,「アゾリウス当局は事実に囚われるあまり、事実を結びつける真実が見えていない。私が介入しないと、この事件は解決できそうにないな。」\n――アルキスト・プロフトの事件簿,「俄佐立过于注重个别事证，却看不清将它们串成一体的真相。我要是不出手，他们永远破不了案。」\n～阿奎斯波费，探案笔记,"""The Azorius are too obsessed with facts to see the truth that knits them together. They'll never solve this case unless I step in.""\n—Alquist Proft, case notes",私
探偵帽,思考帽,Thinking Cap,「耳が冷たいと、素晴らしい推論がひらめきにくくなるのでね。」\n――上級捜査員、ホルジョ,「我发现我的伟大见解，都是在耳朵没冻僵的时候想出来的。」\n～资深巡检员何勒乔,"""I find that my greatest insights rarely arrive when my ears are cold.""\n—Senior Inspector Holjo",
衛生管理用自動機械,保洁机械兽,Sanitation Automaton,「没になった推理で満杯になりました。大至急、処分が必要です。」,「我又被废弃理论装满了。亟需清理。」,"""I am once again bursting with discarded theories. Disposal imminent.""",
世界魂の憤怒,世界之魂怒火,Worldsoul's Rage,「物資を貯め込み、死と破壊から甘い汁を吸い、侵略者と共謀した。奴らは全員、最大の危機が迫っているときにラヴニカを裏切った。全員が万死に値する。まだ他にもある！」,「囤物居奇，借灾牟利，勾结外敌～他们所有人都在拉尼卡最需要帮助的时候背叛了这座城市。他们都该死。我还没有完！」,"""Hoarding supplies, profiting from death and destruction, colluding with the invaders—every one of them betrayed Ravnica in its time of greatest need. They all deserved to die. And I'm not done yet!""",
ブリキ通りの噂好き,锡街多嘴客,Tin Street Gossip,「法魔道士は真実をひた隠しにしているが、お前に教えてやろう――護衛はあのバルコニーから落ちたんじゃない。押されたんだよ！」,「律法师想要把这件事瞒过去，但我跟你说～守卫不是自己掉下阳台的。他是被人推下去的！」,"""The lawmages are trying to hush it up, but I'm telling you—the guard didn't fall off that balcony. He was pushed!""",
排撃の変異,排斥变异,Repulsive Mutation,「生術師チームには忘れずにお礼の品を送らねば。」\n――シミックの実地研究者、オラナ,「记得提醒我要给生机术士组送篮礼品。」\n～析米克勘验学者欧兰纳,"""Remind me to send the biomancer team a gift basket.""\n—Olana, Simic field researcher",
